Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/13/1984,-0.0207395201592206,0.0542705918945221,-0.0230361764739285,0.15113604162778,-0.68183692941052,-0.257168765138104
01/20/1984,-0.0665873178861515,-0.0300259847119574,-0.0688142556801651,0.115768686541384,-0.648803914823784,-0.231290286168136
01/27/1984,-0.107557973905595,-0.112342450240447,-0.107673834274675,0.0777258810128211,-0.618254634256162,-0.205438977901681
02/03/1984,-0.141392235383777,-0.181571659482668,-0.137481390631202,0.0377197214504406,-0.590499901949326,-0.179664815069249
02/10/1984,-0.167410415291691,-0.231047145509893,-0.157293572490595,-0.00364242303344522,-0.56591998863641,-0.153996634704682
02/17/1984,-0.183896037507933,-0.258546098916289,-0.165969175743636,-0.0450697366122789,-0.544404139386028,-0.128445344452971
02/24/1984,-0.190290597684342,-0.268441980078097,-0.163256818787445,-0.0853220116414285,-0.525774285844775,-0.103009817715704
03/02/1984,-0.184286693468389,-0.264448052817264,-0.147333140219897,-0.123052230934301,-0.509616111057267,-0.07768179593566
03/09/1984,-0.163979439135758,-0.249164535311978,-0.116793451193693,-0.156965995332021,-0.495417419475389,-0.0524509717933941
03/16/1984,-0.128362564935128,-0.223991313384244,-0.0713583553766173,-0.185814119648946,-0.482534882262734,-0.0273097899543459
03/23/1984,-0.077866574828056,-0.188603209861534,-0.0118120638530165,-0.208669891074107,-0.47052212096433,-0.00225743854124275
03/30/1984,-0.0122364990688956,-0.137683016501691,0.0617867559618395,-0.224922597284487,-0.458926547663402,0.0226956373363307
04/06/1984,0.0682749940800126,-0.0662094568277149,0.149436125230971,-0.234389440317995,-0.447651776344124,0.0475338080503427
04/13/1984,0.163026096503085,0.0307526505943475,0.250611828686023,-0.237341057897618,-0.436281761791257,0.0722258570560737
04/20/1984,0.272753666826479,0.155634270775649,0.366776920691723,-0.23432543772482,-0.424790718369411,0.0967492737445192
04/27/1984,0.396418477202909,0.304273102886147,0.496955610193127,-0.225845226385382,-0.412529759479041,0.121079583954372
05/04/1984,0.528971313150112,0.462629680521354,0.635871354212726,-0.211923859204183,-0.39918225734154,0.145200391916353
05/11/1984,0.664928151510394,0.617335146976025,0.777881201657953,-0.192947174011266,-0.384268088344641,0.169098900088313
05/18/1984,0.796549952384404,0.754830217360393,0.914029779171165,-0.168119501868681,-0.367286838693109,0.192764163992532
05/25/1984,0.917699011443444,0.872985213585725,1.03771488618025,-0.137217842550544,-0.348070691664676,0.216182618717729
06/01/1984,1.02556327185108,0.98272405036823,1.1455054277402,-0.100054485649822,-0.326269590134966,0.239334799602749
06/08/1984,1.11645259322777,1.09192081304168,1.23331940157526,-0.0567214339241948,-0.301597932800534,0.262192297820723
06/15/1984,1.18912184655829,1.20594703385627,1.29996090054914,-0.0077516290724809,-0.273950119408116,0.284714319116649
06/22/1984,1.23902269614349,1.31227727963096,1.34095391672823,0.0460270978430174,-0.243256507390264,0.306845192806207
06/29/1984,1.26031149537976,1.38457392939316,1.35062523572319,0.103558897895126,-0.209733754703157,0.328514404100843
07/06/1984,1.24737677985992,1.39314097668731,1.32394064615523,0.16340376732356,-0.174054283500412,0.349640173147564
07/13/1984,1.19925984924597,1.32414817643945,1.26082618943611,0.22371417967848,-0.136945591586015,0.370123346726411
07/20/1984,1.12241221350903,1.19040702161434,1.1690563203442,0.282300497008936,-0.0993065865243768,0.389879253203115
07/27/1984,1.02587558836593,1.01921309577804,1.05870647383488,0.336969006978522,-0.0615493323684465,0.408827404049743
08/03/1984,0.922284893108264,0.849402956745844,0.9432330133083,0.385830015226013,-0.0241062078383027,0.426906760464907
08/10/1984,0.822964547909811,0.711250318898027,0.834590583430902,0.427220693449614,0.0132088040131345,0.444078565715416
08/17/1984,0.734543411572111,0.620611011262631,0.738680618454528,0.460929027485468,0.0503614187938328,0.460325718539188
08/24/1984,0.658025472122376,0.571039340548765,0.655950653965449,0.48685911429285,0.0873613637725504,0.475649802321183
08/31/1984,0.591722204620168,0.548065424565253,0.584092469940655,0.505491873783813,0.123820163398322,0.490070421624808
09/07/1984,0.533239642434208,0.535092054489372,0.520230407481422,0.517462949564494,0.159082956532108,0.503624047091893
09/14/1984,0.478555805670641,0.514030920901723,0.460355968821303,0.523410704872588,0.192294888160597,0.516365698938437
09/21/1984,0.424233942998889,0.474440332438817,0.401079597165229,0.523919257143818,0.222492144278229,0.528369277658086
09/28/1984,0.369423993869772,0.41625531353565,0.341436602816953,0.519688748188298,0.248737699307537,0.539723401477806
10/05/1984,0.31410949965971,0.346008221540019,0.281378794510806,0.51126493864359,0.270097559998751,0.550522899906391
10/12/1984,0.257962933635597,0.269346723104068,0.220300487049997,0.499279737957234,0.285811940406396,0.560874278111574
10/19/1984,0.201792846029912,0.194139247479574,0.15928784567231,0.483847296098429,0.295010169456991,0.570870871787982
10/26/1984,0.147275547476446,0.127747581829511,0.100208776526122,0.464829855256714,0.297458697009588,0.580596444944246
11/02/1984,0.0957082031256526,0.0719330019931583,0.0453323612151826,0.441712404526733,0.292763256917345,0.59012333904214
11/09/1984,0.0475373964012664,0.0235307721820234,-0.00441797691100853,0.414017701197941,0.281497655014117,0.599508889741823
11/16/1984,0.00245789259854216,-0.0202607472243338,-0.0488713766964829,0.381553299601014,0.264136996893875,0.608797259409779
11/23/1984,-0.0391413698505339,-0.0592211362841078,-0.0877138294088128,0.344441448905496,0.241801033637549,0.618020819650715
11/30/1984,-0.0789655953674368,-0.0962777916427326,-0.12262632875531,0.303202396745111,0.215298614500057,0.627200133701281
12/07/1984,-0.117310651871531,-0.130032511350639,-0.154293540191794,0.258741801093727,0.185689303424413,0.636344165497387
12/14/1984,-0.157367651355949,-0.166856865473771,-0.186293846315631,0.212218280618733,0.154007857388896,0.64545012432166
12/21/1984,-0.199832738002787,-0.210764135975254,-0.219610085089339,0.164947183449165,0.121074182448269,0.654502868903641
12/28/1984,-0.243339653202844,-0.262219445949563,-0.253153655630144,0.118374130588455,0.0876379394807767,0.663478310564988
01/04/1985,-0.287065847931336,-0.321318027388475,-0.286680158267242,0.0740560266937839,0.0547063865070327,0.672342917778917
01/11/1985,-0.326404883996678,-0.378121431112638,-0.316530905158623,0.0338026878194026,0.0231069374198667,0.681053627332544
01/18/1985,-0.356357551279867,-0.41899784809868,-0.338052380760904,-0.00110150706499949,-0.0065203783612079,0.689560381337157
01/25/1985,-0.374130465608123,-0.436329786507154,-0.349031714169894,-0.0294988061237279,-0.03333600899667,0.697808517045823
02/01/1985,-0.378282640957998,-0.428006188523937,-0.347987779408141,-0.0507817074241912,-0.0569172829225383,0.70573765868507
02/08/1985,-0.369811716717447,-0.398255893533412,-0.336150937596743,-0.0646194653311535,-0.0764942214760415,0.713284945614196
