iter	Passed	Remaining
817	1934	430
818	1936	427
819	1937	425
820	1940	422
821	1942	420
822	1944	418
823	1946	415
824	1948	413
825	1950	410
826	1952	408
827	1954	406
828	1956	403
829	1958	401
830	1960	398
831	1962	396
832	1963	393
833	1965	391
834	1967	388
835	1970	386
836	1971	383
837	1973	381
838	1975	379
839	1976	376
840	1978	374
841	1980	371
842	1983	369
843	1984	366
844	1986	364
845	1988	361
846	1990	359
847	1991	357
848	1993	354
849	1996	352
850	1997	349
851	2000	347
852	2001	345
853	2003	342
854	2005	340
855	2007	337
856	2009	335
857	2011	332
858	2012	330
859	2014	327
860	2016	325
861	2017	323
862	2020	320
863	2024	318
864	2026	316
865	2028	313
866	2029	311
867	2031	308
868	2033	306
869	2034	304
870	2036	301
871	2038	299
872	2040	296
873	2041	294
874	2043	291
875	2045	289
876	2047	287
877	2050	284
878	2051	282
879	2053	280
880	2055	277
881	2057	275
882	2058	272
883	2061	270
884	2063	268
885	2065	265
886	2067	263
887	2069	260
888	2071	258
889	2073	256
890	2076	254
891	2078	251
892	2115	253
893	2149	254
894	2151	252
895	2153	249
896	2155	247
897	2157	245
898	2159	242
899	2160	240
900	2162	237
901	2164	235
902	2169	233
903	2176	231
904	2178	228
905	2180	226
906	2182	223
907	2184	221
908	2186	218
909	2188	216
910	2189	213
911	2191	211
912	2193	209
913	2197	206
914	2198	204
915	2200	201
916	2201	199
917	2203	196
918	2205	194
919	2208	192
920	2210	189
921	2212	187
922	2213	184
923	2215	182
924	2217	179
925	2219	177
926	2221	174
927	2223	172
928	2225	170
929	2227	167
930	2229	165
931	2230	162
932	2232	160
933	2235	157
934	2236	155
935	2238	153
936	2240	150
937	2242	148
938	2243	145
939	2245	143
940	2247	140
941	2250	138
942	2252	136
943	2255	133
944	2257	131
945	2258	128
946	2260	126
947	2263	124
948	2264	121
949	2266	119
950	2268	116
951	2269	114
952	2271	112
953	2273	109
954	2276	107
955	2278	104
956	2281	102
957	2283	100
958	2284	97
959	2287	95
960	2290	92
961	2292	90
962	2293	88
963	2295	85
964	2297	83
965	2298	80
966	2300	78
967	2303	76
968	2304	73
969	2306	71
970	2308	68
971	2310	66
972	2311	64
973	2314	61
974	2316	59
975	2318	57
976	2320	54
977	2322	52
978	2324	49
979	2326	47
980	2329	45
981	2331	42
982	2332	40
983	2335	37
984	2337	35
985	2339	33
986	2341	30
987	2344	28
988	2346	26
989	2359	23
990	2361	21
991	2363	19
992	2364	16
993	2366	14
994	2368	11
995	2370	9
996	2372	7
997	2374	4
998	2377	2
999	2378	0
