"date";"Valor_Real";"Valor_Predicho";"Modelo";"Version";"RMSE";"Hyperparámetros";"Tipo_Mercado";"Periodo"
"14/03/2014";"0,003311";"0,003311";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"15/03/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"16/03/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"17/03/2014";"0,000431";"0,000431";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"18/03/2014";"0,000933";"0,000933";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"19/03/2014";"-0,007275";"-0,007275";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"20/03/2014";"-0,003912";"-0,003912";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"21/03/2014";"0,000943";"0,000943";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"22/03/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"23/03/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"24/03/2014";"0,003402";"0,003402";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"25/03/2014";"-0,00094";"-0,00094";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"26/03/2014";"-0,003188";"-0,003188";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"27/03/2014";"-0,003052";"-0,003052";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"28/03/2014";"0,000946";"0,000946";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"29/03/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"30/03/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"31/03/2014";"0,001308";"0,001308";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"01/04/2014";"0,001596";"0,001596";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"02/04/2014";"-0,001887";"-0,001887";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"03/04/2014";"-0,003493";"-0,003493";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"04/04/2014";"-0,001167";"-0,001167";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"05/04/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"06/04/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"07/04/2014";"0,002769";"0,002769";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"08/04/2014";"0,003922";"0,003922";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"09/04/2014";"0,004412";"0,004412";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"10/04/2014";"0,002307";"0,002307";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"11/04/2014";"-0,000288";"-0,000288";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"12/04/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"13/04/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"14/04/2014";"-0,004693";"-0,004693";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"15/04/2014";"-0,000434";"-0,000434";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"16/04/2014";"0,000145";"0,000145";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"17/04/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"18/04/2014";"-7,2e-05";"-7,2e-05";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
