date,Model,Valor_Real,Valor_Predicho,Zone
1970-01-01,SVM,-0.05123813252422438,0.0,A
1970-01-01,SVM,-0.08817712604312378,0.0,A
1970-01-01,SVM,-0.05881776776531666,0.0,A
1970-01-01,SVM,-0.06242832211418603,0.0,A
1970-01-01,SVM,-0.06971106273500893,0.0,A
1970-01-01,SVM,-0.07734183423246688,0.0,A
1970-01-01,SVM,-0.09930727122995697,0.0,A
1970-01-01,SVM,-0.0931586608442504,0.0,A
1970-01-01,SVM,-0.07476952935468217,0.0,A
1970-01-01,SVM,-0.08723559445660112,0.0,A
1970-01-01,SVM,-0.08410315627405707,0.0,A
1970-01-01,SVM,-0.08742851604148494,0.0,A
1970-01-01,SVM,-0.07363373941973672,0.0,A
1970-01-01,SVM,-0.05073633739419736,0.0,A
1970-01-01,SVM,-0.03641874099468378,0.0,A
1970-01-01,SVM,-0.05637923340110085,0.0,A
1970-01-01,SVM,-0.03908958448475097,0.0,A
1970-01-01,SVM,-0.01420410683958617,0.0,A
1970-01-01,SVM,-0.02185223725286156,0.0,A
1970-01-01,SVM,-0.03654415969225966,0.0,A
1970-01-01,SVM,-0.0446175272089544,0.0,A
1970-01-01,SVM,-0.02031423583558156,0.0,A
1970-01-01,SVM,-0.0482360287230722,0.0,A
1970-01-01,SVM,-0.008243365420411597,0.0,A
1970-01-01,SVM,-0.008243365420411597,0.0,A
1970-01-01,SVM,0.007601126880348641,0.0,A
1970-01-01,SVM,0.03630398537083845,0.0,A
1970-01-01,SVM,0.02611021936864621,0.0,A
1970-01-01,SVM,0.005716083696051033,0.0,A
1970-01-01,SVM,0.03643918810931757,0.0,A
1970-01-01,SVM,0.009298171884849715,0.0,A
1970-01-01,SVM,0.02485395645246946,0.0,A
1970-01-01,SVM,0.03079116932502379,0.0,A
1970-01-01,SVM,0.004020204102669789,0.0,A
1970-01-01,SVM,-0.003712488398473823,0.0,A
1970-01-01,SVM,0.03956910141881242,0.0,A
1970-01-01,SVM,0.03869281045751638,0.0,A
1970-01-01,SVM,0.0406682328373793,0.0,A
1970-01-01,SVM,0.06382978723404253,0.0,A
1970-01-01,SVM,0.08006906226394728,0.0,A
1970-01-01,SVM,0.06862109923334403,0.0,A
1970-01-01,SVM,0.07419407095415509,0.0,A
1970-01-01,SVM,0.08774807282269959,0.0,A
1970-01-01,SVM,0.08440583440583449,0.0,A
1970-01-01,SVM,0.08301158301158296,0.0,A
1970-01-01,SVM,0.06346275585566574,0.0,A
1970-01-01,SVM,0.0521071206144903,0.0,A
1970-01-01,SVM,0.06403170299301286,0.0,A
1970-01-01,SVM,0.06872458024820105,0.0,A
1970-01-01,SVM,0.05453610896941652,0.0,A
1970-01-01,SVM,0.06688179878207468,0.0,A
1970-01-01,SVM,0.05539434138252664,0.0,A
1970-01-01,SVM,0.04314187631295785,0.0,A
1970-01-01,SVM,0.04512320328542097,0.0,A
1970-01-01,SVM,0.05423869164682737,0.0,A
1970-01-01,SVM,0.03877066167921961,0.0,A
1970-01-01,SVM,0.03896300025169896,0.0,A
1970-01-01,SVM,0.03325975719875585,0.0,A
1970-01-01,SVM,0.03639999999999999,0.0,A
1970-01-01,SVM,0.0321210910180838,0.0,A
1970-01-01,SVM,0.0332945991006921,0.0,A
1970-01-01,SVM,0.03890815864877095,0.0,A
1970-01-01,SVM,0.02628669079211909,0.0,A
1970-01-01,SVM,0.01256057758876472,0.0,A
1970-01-01,SVM,0.0110913052089523,0.0,A
1970-01-01,SVM,0.02271938092167258,0.0,A
1970-01-01,SVM,0.0272296764009472,0.0,A
1970-01-01,SVM,0.02068019210036276,0.0,A
1970-01-01,SVM,0.01517369242779076,0.0,A
1970-01-01,SVM,0.02081302398128293,0.0,A
1970-01-01,SVM,0.02488047614401401,0.0,A
1970-01-01,SVM,0.032258064516129,0.0,A
1970-01-01,SVM,0.02730978928238126,0.0,A
