"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"09.04.2024","2.080,80","2.079,35","2.084,06","2.065,13","","0,34%"
"08.04.2024","2.073,71","2.074,69","2.079,03","2.066,12","","0,50%"
"05.04.2024","2.063,47","2.051,88","2.073,32","2.048,25","","0,47%"
"04.04.2024","2.053,83","2.089,07","2.101,47","2.051,32","","-1,08%"
"03.04.2024","2.076,20","2.056,69","2.080,40","2.052,10","","0,54%"
"02.04.2024","2.065,04","2.087,42","2.087,42","2.054,34","","-1,80%"
"01.04.2024","2.102,84","2.125,91","2.126,06","2.100,14","","-1,02%"
"28.03.2024","2.124,55","2.115,77","2.135,46","2.115,77","","0,48%"
"27.03.2024","2.114,35","2.079,70","2.114,65","2.079,70","","2,13%"
"26.03.2024","2.070,16","2.083,44","2.093,52","2.070,00","","-0,19%"
"25.03.2024","2.074,16","2.075,06","2.088,48","2.074,16","","0,10%"
"22.03.2024","2.072,00","2.098,03","2.099,11","2.071,79","","-1,27%"
"21.03.2024","2.098,56","2.087,85","2.106,31","2.087,85","","1,14%"
"20.03.2024","2.074,88","2.030,38","2.081,33","2.028,56","","1,92%"
"19.03.2024","2.035,71","2.012,03","2.039,83","2.009,81","","0,54%"
"18.03.2024","2.024,74","2.042,12","2.044,07","2.024,57","","-0,72%"
"15.03.2024","2.039,32","2.020,63","2.041,88","2.018,95","","0,40%"
"14.03.2024","2.031,18","2.064,28","2.064,28","2.017,28","","-1,96%"
"13.03.2024","2.071,71","2.062,75","2.080,19","2.062,35","","0,30%"
"12.03.2024","2.065,48","2.066,15","2.072,95","2.052,93","","-0,02%"
"11.03.2024","2.065,88","2.075,74","2.079,97","2.063,78","","-0,81%"
"08.03.2024","2.082,71","2.099,60","2.115,95","2.075,90","","-0,10%"
"07.03.2024","2.084,74","2.079,32","2.090,79","2.079,32","","0,81%"
"06.03.2024","2.068,09","2.069,81","2.075,65","2.059,86","","0,70%"
"05.03.2024","2.053,71","2.060,73","2.072,30","2.048,13","","-0,99%"
"04.03.2024","2.074,31","2.087,63","2.091,80","2.071,99","","-0,10%"
"01.03.2024","2.076,39","2.058,48","2.077,97","2.052,43","","1,05%"
