feature,performance_drift
momentum_PRICE_Copper_Futures_commodities,momentum_PRICE_Copper_Futures_commodities
momentum_PRICE_CNY_USD_Spot_exchange_rate,momentum_PRICE_CNY_USD_Spot_exchange_rate
momentum_PRICE_CAD_USD_Spot_exchange_rate,momentum_PRICE_CAD_USD_Spot_exchange_rate
momentum_PRICE_AUD_USD_Spot_exchange_rate,momentum_PRICE_AUD_USD_Spot_exchange_rate
minmax_Actual_US_ConferenceBoard_LEI_leading_economic_index,minmax_Actual_US_ConferenceBoard_LEI_leading_economic_index
minmax_Actual_Japan_Leading_Indicator_leading_economic_index,minmax_Actual_Japan_Leading_Indicator_leading_economic_index
log_diff_PRICE_UK_10Y_Bond_bond,log_diff_PRICE_UK_10Y_Bond_bond
log_diff_PRICE_Silver_Spot_commodities,log_diff_PRICE_Silver_Spot_commodities
log_diff_PRICE_Shanghai_Composite_index_pricing,log_diff_PRICE_Shanghai_Composite_index_pricing
log_diff_PRICE_Platinum_Spot_commodities,log_diff_PRICE_Platinum_Spot_commodities
log_diff_PRICE_MXN_USD_Spot_exchange_rate,log_diff_PRICE_MXN_USD_Spot_exchange_rate
log_diff_PRICE_Japan_10Y_Bond_bond,log_diff_PRICE_Japan_10Y_Bond_bond
log_diff_PRICE_JPY_USD_Spot_exchange_rate,log_diff_PRICE_JPY_USD_Spot_exchange_rate
log_diff_PRICE_Italy_10Y_Bond_bond,log_diff_PRICE_Italy_10Y_Bond_bond
log_diff_PRICE_Gold_Spot_commodities,log_diff_PRICE_Gold_Spot_commodities
log_diff_PRICE_Germany_10Y_Bond_bond,log_diff_PRICE_Germany_10Y_Bond_bond
log_diff_PRICE_GBP_USD_Spot_exchange_rate,log_diff_PRICE_GBP_USD_Spot_exchange_rate
log_diff_PRICE_EUR_GBP_Cross_exchange_rate,log_diff_PRICE_EUR_GBP_Cross_exchange_rate
log_diff_PRICE_CrudeOil_WTI_commodities,log_diff_PRICE_CrudeOil_WTI_commodities
log_diff_PRICE_Copper_Futures_commodities,log_diff_PRICE_Copper_Futures_commodities
log_diff_PRICE_China_10Y_Bond_bond,log_diff_PRICE_China_10Y_Bond_bond
log_diff_PRICE_Canada_10Y_Bond_bond,log_diff_PRICE_Canada_10Y_Bond_bond
log_diff_PRICE_CNY_USD_Spot_exchange_rate,log_diff_PRICE_CNY_USD_Spot_exchange_rate
log_diff_PRICE_CAD_USD_Spot_exchange_rate,log_diff_PRICE_CAD_USD_Spot_exchange_rate
log_diff_PRICE_Australia_10Y_Bond_bond,log_diff_PRICE_Australia_10Y_Bond_bond
log_diff_PRICE_AUD_USD_Spot_exchange_rate,log_diff_PRICE_AUD_USD_Spot_exchange_rate
log_diff_Actual_US_ConferenceBoard_LEI_leading_economic_index,log_diff_Actual_US_ConferenceBoard_LEI_leading_economic_index
log_diff_Actual_Japan_Leading_Indicator_leading_economic_index,log_diff_Actual_Japan_Leading_Indicator_leading_economic_index
log_diff_AAA_Corporate_Bond_AAA_Spread_bond,log_diff_AAA_Corporate_Bond_AAA_Spread_bond
ZAFSLRTCR03GPSAM_SouthAfrica_Car_Registrations_MoM,ZAFSLRTCR03GPSAM_SouthAfrica_Car_Registrations_MoM
YoY_PRICE_UK_10Y_Bond_bond,YoY_PRICE_UK_10Y_Bond_bond
YoY_PRICE_Japan_10Y_Bond_bond,YoY_PRICE_Japan_10Y_Bond_bond
YoY_PRICE_Germany_10Y_Bond_bond,YoY_PRICE_Germany_10Y_Bond_bond
YoY_Actual_US_ConferenceBoard_LEI_leading_economic_index,YoY_Actual_US_ConferenceBoard_LEI_leading_economic_index
YTD_PRICE_Shanghai_Composite_index_pricing,YTD_PRICE_Shanghai_Composite_index_pricing
YTD_PRICE_Platinum_Spot_commodities,YTD_PRICE_Platinum_Spot_commodities
YTD_PRICE_Japan_10Y_Bond_bond,YTD_PRICE_Japan_10Y_Bond_bond
YTD_PRICE_China_10Y_Bond_bond,YTD_PRICE_China_10Y_Bond_bond
YTD_Actual_US_ConferenceBoard_LEI_leading_economic_index,YTD_Actual_US_ConferenceBoard_LEI_leading_economic_index
YTD_Actual_Japan_Leading_Indicator_leading_economic_index,YTD_Actual_Japan_Leading_Indicator_leading_economic_index
YTD_AAA_Corporate_Bond_AAA_Spread_bond,YTD_AAA_Corporate_Bond_AAA_Spread_bond
USASLRTCR03GPSAM_US_Car_Registrations_MoM,USASLRTCR03GPSAM_US_Car_Registrations_MoM
UNRATE_US_Unemployment_Rate_unemployment_rate,UNRATE_US_Unemployment_Rate_unemployment_rate
PRICE_EUR_USD_Spot_exchange_rate_Target,PRICE_EUR_USD_Spot_exchange_rate_Target
MoM_PRICE_UK_10Y_Bond_bond,MoM_PRICE_UK_10Y_Bond_bond
MoM_PRICE_Japan_10Y_Bond_bond,MoM_PRICE_Japan_10Y_Bond_bond
MoM_PRICE_Italy_10Y_Bond_bond,MoM_PRICE_Italy_10Y_Bond_bond
MoM_PRICE_Germany_10Y_Bond_bond,MoM_PRICE_Germany_10Y_Bond_bond
MoM_PRICE_China_10Y_Bond_bond,MoM_PRICE_China_10Y_Bond_bond
MoM_PRICE_Canada_10Y_Bond_bond,MoM_PRICE_Canada_10Y_Bond_bond
MoM_PRICE_Australia_10Y_Bond_bond,MoM_PRICE_Australia_10Y_Bond_bond
MoM_Actual_US_ConferenceBoard_LEI_leading_economic_index,MoM_Actual_US_ConferenceBoard_LEI_leading_economic_index
MoM_Actual_Japan_Leading_Indicator_leading_economic_index,MoM_Actual_Japan_Leading_Indicator_leading_economic_index
MoM_AAA_Corporate_Bond_AAA_Spread_bond,MoM_AAA_Corporate_Bond_AAA_Spread_bond
MACD_signal_PRICE_Silver_Spot_commodities,MACD_signal_PRICE_Silver_Spot_commodities
MACD_signal_PRICE_MXN_USD_Spot_exchange_rate,MACD_signal_PRICE_MXN_USD_Spot_exchange_rate
MACD_signal_PRICE_JPY_USD_Spot_exchange_rate,MACD_signal_PRICE_JPY_USD_Spot_exchange_rate
MACD_signal_PRICE_EUR_USD_Spot_exchange_rate,MACD_signal_PRICE_EUR_USD_Spot_exchange_rate
MACD_signal_PRICE_EUR_GBP_Cross_exchange_rate,MACD_signal_PRICE_EUR_GBP_Cross_exchange_rate
MACD_signal_PRICE_CrudeOil_WTI_commodities,MACD_signal_PRICE_CrudeOil_WTI_commodities
MACD_signal_PRICE_Copper_Futures_commodities,MACD_signal_PRICE_Copper_Futures_commodities
MACD_signal_PRICE_AUD_USD_Spot_exchange_rate,MACD_signal_PRICE_AUD_USD_Spot_exchange_rate
MACD_PRICE_Shanghai_Composite_index_pricing,MACD_PRICE_Shanghai_Composite_index_pricing
HOUST_US_Housing_Starts_economics,HOUST_US_Housing_Starts_economics
GBRSLRTCR03GPSAM_United_Kingdom_Car_Registrations_MoM,GBRSLRTCR03GPSAM_United_Kingdom_Car_Registrations_MoM
FEDFUNDS_US_FedFunds_Rate_economics,FEDFUNDS_US_FedFunds_Rate_economics
ESI_GACDISA_US_Empire_State_Index_business_confidence,ESI_GACDISA_US_Empire_State_Index_business_confidence
ESI_AWCDISA_US_Empire_State_Index_business_confidence,ESI_AWCDISA_US_Empire_State_Index_business_confidence
ECBDFR_ECB_Deposit_Rate_economics,ECBDFR_ECB_Deposit_Rate_economics
DNKSLRTCR03GPSAM_Denmark_Car_Registrations_MoM,DNKSLRTCR03GPSAM_Denmark_Car_Registrations_MoM
CSCICP02EZM460S_EuroZone_Consumer_Confidence_consumer_confidence,CSCICP02EZM460S_EuroZone_Consumer_Confidence_consumer_confidence
CSCICP02CHQ460S_Switzerland_Consumer_Confidence_consumer_confidence,CSCICP02CHQ460S_Switzerland_Consumer_Confidence_consumer_confidence
BAA10YM_Corporate_Bond_BBB_Spread_bond,BAA10YM_Corporate_Bond_BBB_Spread_bond
Actual_US_Philly_Fed_Index_business_confidence,Actual_US_Philly_Fed_Index_business_confidence
Actual_UK_Retail_Sales_MoM_economics,Actual_UK_Retail_Sales_MoM_economics
Actual_Singapore_NonOil_Exports_YoY_economics,Actual_Singapore_NonOil_Exports_YoY_economics
Actual_Mexico_CPI_MoM_economics,Actual_Mexico_CPI_MoM_economics
Actual_Japan_M2_MoneySupply_YoY_economics,Actual_Japan_M2_MoneySupply_YoY_economics
Actual_Eurozone_Unemployment_Rate_unemployment_rate,Actual_Eurozone_Unemployment_Rate_unemployment_rate
Actual_China_PMI_Manufacturing_economics,Actual_China_PMI_Manufacturing_economics
Actual_China_M2_MoneySupply_YoY_economics,Actual_China_M2_MoneySupply_YoY_economics
Actual_China_Exports_exports,Actual_China_Exports_exports
Actual_BOJ_Policy_Rate_economics,Actual_BOJ_Policy_Rate_economics
6M_change_PRICE_UK_10Y_Bond_bond,6M_change_PRICE_UK_10Y_Bond_bond
6M_change_PRICE_Silver_Spot_commodities,6M_change_PRICE_Silver_Spot_commodities
6M_change_PRICE_Shanghai_Composite_index_pricing,6M_change_PRICE_Shanghai_Composite_index_pricing
6M_change_PRICE_Japan_10Y_Bond_bond,6M_change_PRICE_Japan_10Y_Bond_bond
6M_change_PRICE_Germany_10Y_Bond_bond,6M_change_PRICE_Germany_10Y_Bond_bond
6M_change_PRICE_EUR_GBP_Cross_exchange_rate,6M_change_PRICE_EUR_GBP_Cross_exchange_rate
6M_change_PRICE_CrudeOil_WTI_commodities,6M_change_PRICE_CrudeOil_WTI_commodities
6M_change_PRICE_CNY_USD_Spot_exchange_rate,6M_change_PRICE_CNY_USD_Spot_exchange_rate
6M_change_PRICE_CAD_USD_Spot_exchange_rate,6M_change_PRICE_CAD_USD_Spot_exchange_rate
6M_change_Actual_US_ConferenceBoard_LEI_leading_economic_index,6M_change_Actual_US_ConferenceBoard_LEI_leading_economic_index
6M_change_Actual_Japan_Leading_Indicator_leading_economic_index,6M_change_Actual_Japan_Leading_Indicator_leading_economic_index
3M_change_PRICE_UK_10Y_Bond_bond,3M_change_PRICE_UK_10Y_Bond_bond
3M_change_PRICE_Shanghai_Composite_index_pricing,3M_change_PRICE_Shanghai_Composite_index_pricing
3M_change_PRICE_Platinum_Spot_commodities,3M_change_PRICE_Platinum_Spot_commodities
3M_change_PRICE_Japan_10Y_Bond_bond,3M_change_PRICE_Japan_10Y_Bond_bond
3M_change_PRICE_Italy_10Y_Bond_bond,3M_change_PRICE_Italy_10Y_Bond_bond
3M_change_PRICE_Gold_Spot_commodities,3M_change_PRICE_Gold_Spot_commodities
3M_change_PRICE_Germany_10Y_Bond_bond,3M_change_PRICE_Germany_10Y_Bond_bond
3M_change_PRICE_EUR_GBP_Cross_exchange_rate,3M_change_PRICE_EUR_GBP_Cross_exchange_rate
3M_change_PRICE_CrudeOil_WTI_commodities,3M_change_PRICE_CrudeOil_WTI_commodities
3M_change_PRICE_China_10Y_Bond_bond,3M_change_PRICE_China_10Y_Bond_bond
3M_change_PRICE_CNY_USD_Spot_exchange_rate,3M_change_PRICE_CNY_USD_Spot_exchange_rate
3M_change_PRICE_CAD_USD_Spot_exchange_rate,3M_change_PRICE_CAD_USD_Spot_exchange_rate
3M_change_Actual_US_ConferenceBoard_LEI_leading_economic_index,3M_change_Actual_US_ConferenceBoard_LEI_leading_economic_index
3M_change_Actual_Japan_Leading_Indicator_leading_economic_index,3M_change_Actual_Japan_Leading_Indicator_leading_economic_index
3M_change_AAA_Corporate_Bond_AAA_Spread_bond,3M_change_AAA_Corporate_Bond_AAA_Spread_bond
