"PrediccionKey;FechaKey;ModeloKey;MercadoKey;ValorReal;ValorPredicho;ErrorAbsoluto;ErrorPorcentual;TipoPeriodo;";"onaEntrenamiento;EsPrediccionFutura;FechaReal;ModeloInfo;ValorReal_SP500;ValorPredicho_SP500"
"69;69;1;1;0.014543;0.014545;2,00E-06;0.013752;Training;";"ona A;False;21/04/2015;CATBOOST_Training;2127.8;2127.8"
"70;70;1;1;0.008444;0.008446;2,00E-06;0.023685;Training;";"ona A;False;22/04/2015;CATBOOST_Training;2125.8;2125.8"
"71;71;1;1;0.008472;0.00847;2,00E-06;0.023607;Training;";"ona A;False;23/04/2015;CATBOOST_Training;2130.8;2130.8"
"72;72;1;1;0.003967;0.003966;1,00E-06;0.025208;Training;";"ona A;False;24/04/2015;CATBOOST_Training;2126.1;2126.1"
"73;73;1;1;0.008156;0.008153;3,00E-06;0.036783;Training;";"ona A;False;27/04/2015;CATBOOST_Training;2126.1;2126.1"
"74;74;1;1;-0.005012;-0.00501;2,00E-06;0.039904;Training;";"ona A;False;28/04/2015;CATBOOST_Training;2104.2;2104.2"
"75;75;1;1;0.007927;0.007926;1,00E-06;0.012615;Training;";"ona A;False;29/04/2015;CATBOOST_Training;2123.5;2123.5"
"76;76;1;1;0.016926;0.016927;1,00E-06;0.005908;Training;";"ona A;False;30/04/2015;CATBOOST_Training;2120.8;2120.8"
"77;77;1;1;-0.000427;-0.000429;2,00E-06;0.468384;Training;";"ona A;False;1/05/2015;CATBOOST_Training;2107.4;2107.4"
"78;78;1;1;-0.001324;-0.001324;0.0;0.0;Training;";"ona A;False;4/05/2015;CATBOOST_Training;2111.7;2111.7"
"79;79;1;1;0.00962;0.009619;1,00E-06;0.010395;Training;";"ona A;False;5/05/2015;CATBOOST_Training;2109.6;2109.6"
"80;80;1;1;0.016297;0.016298;1,00E-06;0.006136;Training;";"ona A;False;6/05/2015;CATBOOST_Training;2114.1;2114.1"
"81;81;1;1;0.003736;0.003736;0.0;0.0;Training;";"ona A;False;7/05/2015;CATBOOST_Training;2095.8;2095.8"
"82;82;1;1;-0.011011;-0.011012;1,00E-06;0.009082;Training;";"ona A;False;8/05/2015;CATBOOST_Training;2092.8;2092.8"
"83;83;1;1;-0.01235;-0.01235;0.0;0.0;Training;";"ona A;False;11/05/2015;CATBOOST_Training;2079.3;2079.3"
"84;84;1;1;-0.009004;-0.009003;1,00E-06;0.011106;Training;";"ona A;False;12/05/2015;CATBOOST_Training;2080.2;2080.2"
"85;85;1;1;0.003193;0.003189;4,00E-06;0.125274;Training;";"ona A;False;13/05/2015;CATBOOST_Training;2105.2;2105.2"
"86;86;1;1;-0.005752;-0.005745;7,00E-06;0.121697;Training;";"ona A;False;14/05/2015;CATBOOST_Training;2108.9;2108.91"
"87;87;1;1;-0.013473;-0.013477;4,00E-06;0.029689;Training;";"ona A;False;15/05/2015;CATBOOST_Training;2094.1;2094.1"
"88;88;1;1;-0.021041;-0.021041;0.0;0.0;Training;";"ona A;False;18/05/2015;CATBOOST_Training;2084.4;2084.4"
"89;89;1;1;-0.014804;-0.014797;7,00E-06;0.047285;Training;";"ona A;False;19/05/2015;CATBOOST_Training;2096.3;2096.31"
"90;90;1;1;-0.011948;-0.011955;7,00E-06;0.058587;Training;";"ona A;False;20/05/2015;CATBOOST_Training;2100.4;2100.39"
"91;91;1;1;-0.004505;-0.004509;4,00E-06;0.08879;Training;";"ona A;False;21/05/2015;CATBOOST_Training;2121.2;2121.2"
"92;92;1;1;-0.007573;-0.007574;1,00E-06;0.013205;Training;";"ona A;False;22/05/2015;CATBOOST_Training;2110;2110.0"
"93;93;1;1;-0.001552;-0.001546;6,00E-06;0.386598;Training;";"ona A;False;25/05/2015;CATBOOST_Training;2122.8;2122.81"
"94;94;1;1;0.009505;0.009502;3,00E-06;0.031562;Training;";"ona A;False;26/05/2015;CATBOOST_Training;2124.2;2124.2"
"95;95;1;1;-0.007017;-0.007016;1,00E-06;0.014251;Training;";"ona A;False;27/05/2015;CATBOOST_Training;2108.6;2108.6"
"96;96;1;1;-0.008723;-0.008717;6,00E-06;0.068784;Training;";"ona A;False;28/05/2015;CATBOOST_Training;2102.3;2102.31"
"97;97;1;1;-0.0028;-0.002809;9,00E-06;0.321429;Training;";"ona A;False;29/05/2015;CATBOOST_Training;2101.5;2101.48"
"98;98;1;1;-0.025619;-0.025616;3,00E-06;0.01171;Training;";"ona A;False;1/06/2015;CATBOOST_Training;2057.6;2057.6"
"99;99;1;1;-0.022042;-0.022038;4,00E-06;0.018147;Training;";"ona A;False;2/06/2015;CATBOOST_Training;2063.1;2063.1"
"100;100;1;1;-0.01736;-0.017364;4,00E-06;0.023041;Training;";"ona A;False;3/06/2015;CATBOOST_Training;2077.4;2077.4"
"101;101;1;1;-0.009066;-0.00907;4,00E-06;0.044121;Training;";"ona A;False;4/06/2015;CATBOOST_Training;2076.8;2076.8"
"102;102;1;1;-0.007645;-0.007648;3,00E-06;0.039241;Training;";"ona A;False;5/06/2015;CATBOOST_Training;2076.8;2076.8"
"103;103;1;1;-0.00505;-0.005038;1.2e-05;0.237624;Training;";"ona A;False;8/06/2015;CATBOOST_Training;2068.8;2068.82"
"104;104;1;1;0.000529;0.000518;1.1e-05;2.079.395;Training;";"ona A;False;9/06/2015;CATBOOST_Training;2081.3;2081.28"
"105;105;1;1;-0.027788;-0.027783;5,00E-06;0.017993;Training;";"ona A;False;10/06/2015;CATBOOST_Training;2046.7;2046.71"
"106;106;1;1;-0.027313;-0.027311;2,00E-06;0.007323;Training;";"ona A;False;11/06/2015;CATBOOST_Training;2051.3;2051.3"
"107;107;1;1;-0.008357;-0.008348;9,00E-06;0.107694;Training;";"ona A;False;12/06/2015;CATBOOST_Training;2076.6;2076.62"
"108;108;1;1;0.007292;0.007285;7,00E-06;0.095996;Training;";"ona A;False;15/06/2015;CATBOOST_Training;2099.6;2099.59"
"109;109;1;1;0.006011;0.006008;3,00E-06;0.049909;Training;";"ona A;False;16/06/2015;CATBOOST_Training;2108.9;2108.9"
"110;110;1;1;0.003333;0.003331;2,00E-06;0.060006;Training;";"ona A;False;17/06/2015;CATBOOST_Training;2107.4;2107.4"
"111;111;1;1;0.001461;0.001468;7,00E-06;0.479124;Training;";"ona A;False;18/06/2015;CATBOOST_Training;2124.3;2124.31"
"112;112;1;1;0.007867;0.00786;7,00E-06;0.088979;Training;";"ona A;False;19/06/2015;CATBOOST_Training;2126.6;2126.59"
"113;113;1;1;0.002591;0.002595;4,00E-06;0.154381;Training;";"ona A;False;22/06/2015;CATBOOST_Training;2128.3;2128.3"
"114;114;1;1;-0.002354;-0.00235;4,00E-06;0.169924;Training;";"ona A;False;23/06/2015;CATBOOST_Training;2119.2;2119.2"
"115;115;1;1;0.002656;0.002648;8,00E-06;0.301205;Training;";"ona A;False;24/06/2015;CATBOOST_Training;2114.2;2114.18"
"116;116;1;1;-4.8e-05;-4.5e-05;3,00E-06;6.25;Training;";"ona A;False;25/06/2015;CATBOOST_Training;2102.2;2102.2"
"117;117;1;1;-0.010374;-0.01037;4,00E-06;0.038558;Training;";"ona A;False;26/06/2015;CATBOOST_Training;2079.7;2079.7"
"118;118;1;1;0.00486;0.004859;1,00E-06;0.020576;Training;";"ona A;False;29/06/2015;CATBOOST_Training;2067.6;2067.6"
