Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
12/20/1996,-0.727372023711507,-0.836088175527009,-0.685935958354472,-0.246795077308433,-0.965459736859299,-0.0390169588224156
12/27/1996,-0.71343783137469,-0.813170464340432,-0.672942647819485,-0.245428762934343,-0.967003681418088,-0.0356939694453936
01/03/1997,-0.703774247075714,-0.798074820783045,-0.664831206817938,-0.242959581526955,-0.972870345730536,-0.032060577904767
01/10/1997,-0.699199933446304,-0.788156288973479,-0.662049361606395,-0.239271624274019,-0.985280093097238,-0.0280970019726362
01/17/1997,-0.700988092986387,-0.786200083629681,-0.664345690064179,-0.235235801146539,-1.00532027399498,-0.0237930530151601
01/24/1997,-0.707593473741242,-0.790496469700049,-0.670272134721685,-0.231103304864239,-1.03204905826789,-0.0191454056309358
01/31/1997,-0.71733321487216,-0.799975283148351,-0.678054024489634,-0.227086531753575,-1.06378768038209,-0.0141596233522619
02/07/1997,-0.728075483289057,-0.811810579687298,-0.685609005501023,-0.223507422916982,-1.09777772479572,-0.008851780675249
02/14/1997,-0.73808532093157,-0.823855997002055,-0.691687263512377,-0.220295546307826,-1.13065602189578,-0.00324807067080947
02/21/1997,-0.743649109213698,-0.828982777211034,-0.693425767097909,-0.217347051605156,-1.15888547739745,0.0026146245409969
02/28/1997,-0.744082038563215,-0.824262296808217,-0.690496410143776,-0.214551443134251,-1.17987121538147,0.00868815092693547
03/07/1997,-0.738521404708182,-0.807851814060835,-0.682194955991691,-0.211739837070935,-1.19219703599785,0.0149138148229354
03/14/1997,-0.728057952445106,-0.781616123943641,-0.669843484237973,-0.209362663132348,-1.1942272720238,0.0212220783830826
03/21/1997,-0.714084163640195,-0.750054312802254,-0.654095673836044,-0.207512457572389,-1.18726212839404,0.0275334289474401
03/28/1997,-0.698370594111412,-0.717014487068772,-0.636809078027135,-0.206522841156928,-1.17200028941054,0.0337621498576756
04/04/1997,-0.681882362261856,-0.685072834511139,-0.618066868788219,-0.206519879447741,-1.15135459456118,0.0398201559602281
04/11/1997,-0.667118664310729,-0.656601876242897,-0.600201180195897,-0.207570628847286,-1.12789895542245,0.0456101195240065
04/18/1997,-0.654581707792166,-0.631714117227326,-0.583876468326908,-0.209334783658114,-1.1041439279721,0.0510503410575284
04/25/1997,-0.644847107203102,-0.608964519821045,-0.569809505427746,-0.211495418946702,-1.08226668790916,0.0560649205449046
05/02/1997,-0.638937490205983,-0.589878469236594,-0.559183490536965,-0.213454182160944,-1.06418875567727,0.0605905129279823
05/09/1997,-0.635194099176858,-0.572943923033799,-0.551408993401144,-0.214908020886028,-1.04968622626906,0.0645810728513967
05/16/1997,-0.633531236204166,-0.559466692823192,-0.547135910725505,-0.21494873709207,-1.03901318831535,0.0680088535714405
05/23/1997,-0.633378857611873,-0.548840408034328,-0.54624857952919,-0.213346032278457,-1.03147267392649,0.0708650152901784
05/30/1997,-0.633765624894471,-0.540056004828084,-0.548030613356413,-0.210179838104399,-1.02580953650171,0.0731612915102977
06/06/1997,-0.635100315741872,-0.533923595059404,-0.552888788913961,-0.205723872381036,-1.02076913816823,0.0749288751502222
06/13/1997,-0.637924634178331,-0.530974637393085,-0.561009151561537,-0.200914582244264,-1.01461959012987,0.0762185348993651
06/20/1997,-0.641674953021612,-0.531768928095813,-0.571159629843901,-0.196576310688741,-1.00660325344917,0.077099948240173
06/27/1997,-0.646015948744152,-0.537085801210456,-0.582484629776942,-0.193455461765846,-0.996247846114612,0.0776574624882353
07/04/1997,-0.651558287874365,-0.548016374695765,-0.594011650731476,-0.192329648974308,-0.984718026591322,0.0779822072895357
07/11/1997,-0.656101508172987,-0.561929464801433,-0.603676184520234,-0.193225436212575,-0.972531858130777,0.0781847523285724
07/18/1997,-0.660153997434086,-0.576897779999597,-0.611024178417949,-0.196102676800785,-0.96166925922695,0.0783642708332799
07/25/1997,-0.663236677946485,-0.589533782797755,-0.614949776441438,-0.200733060048619,-0.953960004831977,0.078618759283117
08/01/1997,-0.664560983978923,-0.596750973118737,-0.615086046605831,-0.206472104963313,-0.950264161866406,0.0790392094289217
