date;Valor_Real;Valor_Predicho;Modelo;Tipo_Mercado;Periodo;Version
15/05/2020;1,0815;1,0815;MLP;EUR;Training;Trial_10
18/05/2020;1,0912;1,0912;MLP;EUR;Training;Trial_10
19/05/2020;1,0921;1,0921;MLP;EUR;Training;Trial_10
20/05/2020;1,0977;1,0977;MLP;EUR;Training;Trial_10
21/05/2020;1,0949;1,0949;MLP;EUR;Training;Trial_10
22/05/2020;1,09;1,09;MLP;EUR;Training;Trial_10
26/05/2020;1,098;1,098;MLP;EUR;Training;Trial_10
27/05/2020;1,1003;1,1003;MLP;EUR;Training;Trial_10
28/05/2020;1,1076;1,1076;MLP;EUR;Training;Trial_10
29/05/2020;1,1098;1,1098;MLP;EUR;Training;Trial_10
1/06/2020;1,1134;1,1134;MLP;EUR;Training;Trial_10
2/06/2020;1,1169;1,1169;MLP;EUR;Training;Trial_10
3/06/2020;1,1232;1,1232;MLP;EUR;Training;Trial_10
4/06/2020;1,1336;1,1336;MLP;EUR;Training;Trial_10
5/06/2020;1,1284;1,1284;MLP;EUR;Training;Trial_10
8/06/2020;1,1292;1,1292;MLP;EUR;Training;Trial_10
9/06/2020;1,134;1,134;MLP;EUR;Training;Trial_10
10/06/2020;1,1369;1,1369;MLP;EUR;Training;Trial_10
11/06/2020;1,1297;1,1297;MLP;EUR;Training;Trial_10
12/06/2020;1,1254;1,1254;MLP;EUR;Training;Trial_10
15/06/2020;1,1322;1,1322;MLP;EUR;Training;Trial_10
16/06/2020;1,1263;1,1263;MLP;EUR;Training;Trial_10
17/06/2020;1,1243;1,1243;MLP;EUR;Training;Trial_10
18/06/2020;1,1202;1,1202;MLP;EUR;Training;Trial_10
19/06/2020;1,1175;1,1175;MLP;EUR;Training;Trial_10
22/06/2020;1,1258;1,1258;MLP;EUR;Training;Trial_10
23/06/2020;1,1306;1,1306;MLP;EUR;Training;Trial_10
24/06/2020;1,125;1,125;MLP;EUR;Training;Trial_10
25/06/2020;1,1217;1,1217;MLP;EUR;Training;Trial_10
26/06/2020;1,1217;1,1217;MLP;EUR;Training;Trial_10
29/06/2020;1,124;1,124;MLP;EUR;Training;Trial_10
30/06/2020;1,1231;1,1231;MLP;EUR;Training;Trial_10
